1757991517.112952 - Distance=15.03m, Decision=SAFE
1757991517.418368 - Distance=8.99m, Decision=STEER!
1757991517.63781 - Distance=44.95m, Decision=SAFE
1757991517.859741 - Distance=14.26m, Decision=SAFE
1757991518.080601 - Distance=31.43m, Decision=SAFE
1757991518.3042712 - Distance=66.32m, Decision=SAFE
1757991518.522624 - Distance=10.39m, Decision=SAFE
1757991518.842247 - Distance=3.67m, Decision=BRAKE!
1757991519.063565 - Distance=38.23m, Decision=SAFE
1757991519.284435 - Distance=28.31m, Decision=SAFE
1757991519.505188 - Distance=23.37m, Decision=SAFE
1757991519.7341928 - Distance=25.24m, Decision=SAFE
1757991519.954767 - Distance=60.98m, Decision=SAFE
1757991520.275475 - Distance=5.71m, Decision=STEER!
1757991520.518503 - Distance=15.44m, Decision=SAFE
1757991520.763249 - Distance=78.11m, Decision=SAFE
1757991521.111521 - Distance=4.81m, Decision=BRAKE!
1757991521.322602 - Distance=38.30m, Decision=SAFE
1757991521.6680121 - Distance=8.02m, Decision=STEER!
1757991521.8872662 - Distance=23.10m, Decision=SAFE
1757991706.600414 - Distance=16.63m, Decision=SAFE
1757991706.804699 - Distance=16.34m, Decision=SAFE
1757991707.0303118 - Distance=30.14m, Decision=SAFE
1757991707.2604349 - Distance=58.91m, Decision=SAFE
1757991707.506175 - Distance=56.55m, Decision=SAFE
1757991707.8506722 - Distance=8.60m, Decision=STEER!
1757991708.159337 - Distance=3.30m, Decision=BRAKE!
1757991708.3755221 - Distance=11.49m, Decision=SAFE
1757991708.616572 - Distance=43.26m, Decision=SAFE
1757991708.849004 - Distance=36.15m, Decision=SAFE
1757991709.08038 - Distance=23.15m, Decision=SAFE
1757991709.327032 - Distance=56.27m, Decision=SAFE
1757991709.6532469 - Distance=7.26m, Decision=STEER!
1757991710.000146 - Distance=2.31m, Decision=BRAKE!
1757991710.2461782 - Distance=52.58m, Decision=SAFE
1757991710.49151 - Distance=53.03m, Decision=SAFE
1757991710.839158 - Distance=4.34m, Decision=BRAKE!
1757991711.059625 - Distance=49.45m, Decision=SAFE
1757991711.3054368 - Distance=15.07m, Decision=SAFE
1757991711.5519109 - Distance=26.92m, Decision=SAFE
1757991711.89986 - Distance=9.97m, Decision=STEER!
1757991712.122117 - Distance=47.22m, Decision=SAFE
1757991712.4677088 - Distance=3.67m, Decision=BRAKE!
1757991712.78775 - Distance=5.36m, Decision=STEER!
1757991713.121485 - Distance=6.04m, Decision=STEER!
1757991713.370802 - Distance=15.88m, Decision=SAFE
1757991713.6149042 - Distance=10.80m, Decision=SAFE
1757991713.963647 - Distance=5.04m, Decision=STEER!
1757991714.212228 - Distance=47.12m, Decision=SAFE
1757991714.460397 - Distance=28.20m, Decision=SAFE
1757991714.704271 - Distance=16.70m, Decision=SAFE
1757991714.954458 - Distance=32.79m, Decision=SAFE
1757991715.30288 - Distance=6.31m, Decision=STEER!
1757991715.527502 - Distance=23.01m, Decision=SAFE
1757991715.777098 - Distance=22.43m, Decision=SAFE
1757991716.0227451 - Distance=14.42m, Decision=SAFE
1757991716.2752168 - Distance=36.78m, Decision=SAFE
1757991716.525478 - Distance=34.55m, Decision=SAFE
1757991716.774977 - Distance=18.71m, Decision=SAFE
1757991717.025352 - Distance=57.03m, Decision=SAFE
1757991717.266908 - Distance=47.61m, Decision=SAFE
1757991717.619827 - Distance=2.22m, Decision=BRAKE!
1757991717.870759 - Distance=11.53m, Decision=SAFE
1757991718.120575 - Distance=36.25m, Decision=SAFE
1757991718.3709571 - Distance=10.64m, Decision=SAFE
1757991718.7225358 - Distance=4.30m, Decision=BRAKE!
1757991719.073632 - Distance=3.18m, Decision=BRAKE!
1757991719.32267 - Distance=25.77m, Decision=SAFE
1757991719.588232 - Distance=69.14m, Decision=SAFE
1757991719.8410938 - Distance=12.37m, Decision=SAFE
1757991720.091347 - Distance=38.94m, Decision=SAFE
1757991720.343915 - Distance=16.37m, Decision=SAFE
1757991720.593927 - Distance=20.25m, Decision=SAFE
1757991720.840889 - Distance=27.51m, Decision=SAFE
1757991721.090113 - Distance=41.17m, Decision=SAFE
1757991721.343468 - Distance=26.25m, Decision=SAFE
1757991721.5955021 - Distance=16.25m, Decision=SAFE
1757991721.9480488 - Distance=3.45m, Decision=BRAKE!
1757991722.277229 - Distance=6.68m, Decision=STEER!
1757991722.531805 - Distance=68.76m, Decision=SAFE
1757991722.761288 - Distance=26.84m, Decision=SAFE
1757991722.9783192 - Distance=53.30m, Decision=SAFE
1757991723.2199109 - Distance=15.20m, Decision=SAFE
1757991723.47105 - Distance=60.30m, Decision=SAFE
1757991723.6981492 - Distance=27.48m, Decision=SAFE
1757991724.0199091 - Distance=17.45m, Decision=SAFE
1757991724.349076 - Distance=6.50m, Decision=STEER!
1757991724.579813 - Distance=72.44m, Decision=SAFE
1757991724.796454 - Distance=16.20m, Decision=SAFE
1757991725.0157828 - Distance=52.18m, Decision=SAFE
1757991725.24683 - Distance=42.83m, Decision=SAFE
1757991725.475831 - Distance=14.48m, Decision=SAFE
1757991725.696834 - Distance=58.12m, Decision=SAFE
1757991725.9268851 - Distance=30.11m, Decision=SAFE
1757991726.1573062 - Distance=12.55m, Decision=SAFE
1757991726.385866 - Distance=17.61m, Decision=SAFE
1757991726.6109881 - Distance=49.20m, Decision=SAFE
1757991726.840109 - Distance=52.82m, Decision=SAFE
1757991727.069676 - Distance=84.71m, Decision=SAFE
1757991727.2919931 - Distance=41.83m, Decision=SAFE
1757991727.511585 - Distance=61.67m, Decision=SAFE
1757991727.840909 - Distance=9.52m, Decision=STEER!
1757991728.073283 - Distance=21.08m, Decision=SAFE
1757991728.300749 - Distance=16.66m, Decision=SAFE
1757991728.5326169 - Distance=45.11m, Decision=SAFE
1757991728.755218 - Distance=42.65m, Decision=SAFE
1757991728.9782872 - Distance=48.05m, Decision=SAFE
1757991729.211584 - Distance=11.12m, Decision=SAFE
1757991729.5439281 - Distance=6.08m, Decision=STEER!
1757991729.776054 - Distance=35.11m, Decision=SAFE
1757991730.0090408 - Distance=68.39m, Decision=SAFE
1757991846.8135629 - Distance=56.57m, Decision=SAFE
1757991847.852202 - Distance=21.97m, Decision=SAFE
1757991848.925997 - Distance=63.57m, Decision=SAFE
1757991850.100692 - Distance=9.85m, Decision=STEER!
1757991851.154409 - Distance=15.57m, Decision=SAFE
1757991852.2319639 - Distance=12.25m, Decision=SAFE
1757991853.2878962 - Distance=38.88m, Decision=SAFE
1757991854.361748 - Distance=40.74m, Decision=SAFE
1757991855.512854 - Distance=6.74m, Decision=STEER!
1757991856.591073 - Distance=36.69m, Decision=SAFE
1757991857.650419 - Distance=24.24m, Decision=SAFE
1757991858.7228339 - Distance=10.47m, Decision=SAFE
1757991859.791112 - Distance=11.45m, Decision=SAFE
1757991860.826423 - Distance=26.03m, Decision=SAFE
1757991861.865111 - Distance=39.06m, Decision=SAFE
1757991863.00326 - Distance=3.78m, Decision=BRAKE!
1757991864.1445272 - Distance=5.60m, Decision=STEER!
1757991865.1846569 - Distance=41.85m, Decision=SAFE
1757991866.225173 - Distance=34.04m, Decision=SAFE
1757991867.366818 - Distance=6.05m, Decision=STEER!
1757991868.403758 - Distance=24.77m, Decision=SAFE
1757991869.4466612 - Distance=53.92m, Decision=SAFE
1757991870.4861948 - Distance=19.90m, Decision=SAFE
1757991871.521578 - Distance=11.61m, Decision=SAFE
1757991872.566344 - Distance=37.94m, Decision=SAFE
1757991873.608778 - Distance=14.91m, Decision=SAFE
